certificate_id,is_fraud,fraud_type
CERT000001,True,circular_trading
CERT000002,False,
CERT000003,True,circular_trading
CERT000004,False,
CERT000005,False,
CERT000006,False,
CERT000007,False,
CERT000008,False,
CERT000009,False,
CERT000010,False,
CERT000011,False,
CERT000012,False,
CERT000013,False,
CERT000014,False,
CERT000015,False,
CERT000016,False,
CERT000017,False,
CERT000018,False,
CERT000019,False,
CERT000020,False,
CERT000021,True,over_capacity
CERT000022,False,
CERT000023,False,
CERT000024,False,
CERT000025,True,impossible_timing
CERT000026,True,circular_trading
CERT000027,False,
CERT000028,True,impossible_timing
CERT000029,False,
CERT000030,False,
CERT000031,False,
CERT000032,False,
CERT000033,False,
CERT000034,False,
CERT000035,False,
CERT000036,False,
CERT000037,True,over_capacity
CERT000038,False,
CERT000039,False,
CERT000040,False,
CERT000041,False,
CERT000042,False,
CERT000043,False,
CERT000044,False,
CERT000045,False,
CERT000046,False,
CERT000047,False,
CERT000048,True,timestamp_collision
CERT000049,False,
CERT000050,False,
CERT000051,False,
CERT000052,False,
CERT000053,False,
CERT000054,False,
CERT000055,False,
CERT000056,False,
CERT000057,False,
CERT000058,False,
CERT000059,False,
CERT000060,False,
CERT000061,False,
CERT000062,True,timestamp_collision
CERT000063,False,
CERT000064,False,
CERT000065,False,
CERT000066,False,
CERT000067,False,
CERT000068,False,
CERT000069,False,
CERT000070,False,
CERT000071,False,
CERT000072,False,
CERT000073,False,
CERT000074,False,
CERT000075,False,
CERT000076,False,
CERT000077,False,
CERT000078,True,over_capacity
CERT000079,False,
CERT000080,False,
CERT000081,False,
CERT000082,False,
CERT000083,True,circular_trading
CERT000084,True,over_capacity
CERT000085,False,
CERT000086,False,
CERT000087,False,
CERT000088,False,
CERT000089,False,
CERT000090,False,
CERT000091,False,
CERT000092,False,
CERT000093,False,
CERT000094,False,
CERT000095,False,
CERT000096,False,
CERT000097,False,
CERT000098,True,circular_trading
CERT000099,False,
CERT000100,False,
CERT000101,False,
CERT000102,False,
CERT000103,False,
CERT000104,False,
CERT000105,False,
CERT000106,False,
CERT000107,False,
CERT000108,False,
CERT000109,False,
CERT000110,False,
CERT000111,True,timestamp_collision
CERT000112,True,over_capacity
CERT000113,False,
CERT000114,True,impossible_timing
CERT000115,False,
CERT000116,False,
CERT000117,True,over_capacity
CERT000118,False,
CERT000119,False,
CERT000120,False,
CERT000121,False,
CERT000122,False,
CERT000123,False,
CERT000124,True,circular_trading
CERT000125,False,
CERT000126,False,
CERT000127,False,
CERT000128,True,over_capacity
CERT000129,True,timestamp_collision
CERT000130,True,over_capacity
CERT000131,False,
CERT000132,True,timestamp_collision
CERT000133,False,
CERT000134,True,timestamp_collision
CERT000135,False,
CERT000136,False,
CERT000137,False,
CERT000138,False,
CERT000139,False,
CERT000140,False,
CERT000141,False,
CERT000142,False,
CERT000143,True,circular_trading
CERT000144,False,
CERT000145,False,
CERT000146,False,
CERT000147,False,
CERT000148,False,
CERT000149,False,
CERT000150,False,
CERT000151,True,impossible_timing
CERT000152,False,
CERT000153,False,
CERT000154,False,
CERT000155,False,
CERT000156,False,
CERT000157,True,circular_trading
CERT000158,True,timestamp_collision
CERT000159,True,impossible_timing
CERT000160,False,
CERT000161,False,
CERT000162,False,
CERT000163,False,
CERT000164,False,
CERT000165,False,
CERT000166,False,
CERT000167,False,
CERT000168,False,
CERT000169,False,
CERT000170,False,
CERT000171,False,
CERT000172,True,impossible_timing
CERT000173,False,
CERT000174,True,timestamp_collision
CERT000175,False,
CERT000176,False,
CERT000177,False,
CERT000178,False,
CERT000179,False,
CERT000180,False,
CERT000181,True,over_capacity
CERT000182,False,
CERT000183,False,
CERT000184,False,
CERT000185,True,timestamp_collision
CERT000186,False,
CERT000187,False,
CERT000188,True,over_capacity
CERT000189,False,
CERT000190,False,
CERT000191,False,
CERT000192,False,
CERT000193,False,
CERT000194,False,
CERT000195,False,
CERT000196,False,
CERT000197,False,
CERT000198,False,
CERT000199,False,
CERT000200,False,
CERT000201,False,
CERT000202,False,
CERT000203,False,
CERT000204,True,impossible_timing
CERT000205,False,
CERT000206,False,
CERT000207,False,
CERT000208,False,
CERT000209,False,
CERT000210,False,
CERT000211,False,
CERT000212,False,
CERT000213,False,
CERT000214,True,timestamp_collision
CERT000215,False,
CERT000216,False,
CERT000217,False,
CERT000218,False,
CERT000219,False,
CERT000220,False,
CERT000221,True,impossible_timing
CERT000222,False,
CERT000223,False,
CERT000224,True,timestamp_collision
CERT000225,False,
CERT000226,False,
CERT000227,False,
CERT000228,False,
CERT000229,False,
CERT000230,False,
CERT000231,False,
CERT000232,False,
CERT000233,True,circular_trading
CERT000234,False,
CERT000235,False,
CERT000236,False,
CERT000237,True,timestamp_collision
CERT000238,True,circular_trading
CERT000239,False,
CERT000240,False,
CERT000241,False,
CERT000242,False,
CERT000243,False,
CERT000244,False,
CERT000245,False,
CERT000246,True,impossible_timing
CERT000247,False,
CERT000248,False,
CERT000249,True,impossible_timing
CERT000250,False,
CERT000251,False,
CERT000252,False,
CERT000253,True,circular_trading
CERT000254,False,
CERT000255,False,
CERT000256,False,
CERT000257,False,
CERT000258,False,
CERT000259,False,
CERT000260,False,
CERT000261,False,
CERT000262,False,
CERT000263,False,
CERT000264,False,
CERT000265,False,
CERT000266,False,
CERT000267,False,
CERT000268,False,
CERT000269,False,
CERT000270,False,
CERT000271,False,
CERT000272,False,
CERT000273,False,
CERT000274,False,
CERT000275,False,
CERT000276,False,
CERT000277,False,
CERT000278,False,
CERT000279,False,
CERT000280,False,
CERT000281,False,
CERT000282,True,over_capacity
CERT000283,False,
CERT000284,False,
CERT000285,False,
CERT000286,False,
CERT000287,False,
CERT000288,False,
CERT000289,False,
CERT000290,False,
CERT000291,False,
CERT000292,False,
CERT000293,False,
CERT000294,False,
CERT000295,False,
CERT000296,False,
CERT000297,False,
CERT000298,False,
CERT000299,False,
CERT000300,False,
CERT000301,False,
CERT000302,False,
CERT000303,False,
CERT000304,False,
CERT000305,False,
CERT000306,True,circular_trading
CERT000307,False,
CERT000308,False,
CERT000309,False,
CERT000310,False,
CERT000311,False,
CERT000312,False,
CERT000313,True,over_capacity
CERT000314,False,
CERT000315,False,
CERT000316,False,
CERT000317,False,
CERT000318,False,
CERT000319,False,
CERT000320,False,
CERT000321,False,
CERT000322,False,
CERT000323,False,
CERT000324,False,
CERT000325,True,over_capacity
CERT000326,False,
CERT000327,True,circular_trading
CERT000328,False,
CERT000329,False,
CERT000330,False,
CERT000331,False,
CERT000332,True,timestamp_collision
CERT000333,True,over_capacity
CERT000334,False,
CERT000335,False,
CERT000336,False,
CERT000337,False,
CERT000338,False,
CERT000339,False,
CERT000340,False,
CERT000341,True,timestamp_collision
CERT000342,False,
CERT000343,False,
CERT000344,False,
CERT000345,False,
CERT000346,False,
CERT000347,True,impossible_timing
CERT000348,False,
CERT000349,False,
CERT000350,False,
CERT000351,False,
CERT000352,False,
CERT000353,False,
CERT000354,False,
CERT000355,True,over_capacity
CERT000356,False,
CERT000357,True,circular_trading
CERT000358,False,
CERT000359,False,
CERT000360,False,
CERT000361,False,
CERT000362,False,
CERT000363,False,
CERT000364,False,
CERT000365,False,
CERT000366,False,
CERT000367,False,
CERT000368,False,
CERT000369,True,over_capacity
CERT000370,True,timestamp_collision
CERT000371,False,
CERT000372,False,
CERT000373,False,
CERT000374,False,
CERT000375,False,
CERT000376,False,
CERT000377,False,
CERT000378,False,
CERT000379,False,
CERT000380,True,circular_trading
CERT000381,False,
CERT000382,True,timestamp_collision
CERT000383,False,
CERT000384,False,
CERT000385,False,
CERT000386,False,
CERT000387,False,
CERT000388,False,
CERT000389,False,
CERT000390,False,
CERT000391,False,
CERT000392,False,
CERT000393,False,
CERT000394,False,
CERT000395,True,circular_trading
CERT000396,False,
CERT000397,True,over_capacity
CERT000398,False,
CERT000399,False,
CERT000400,False,
CERT000401,False,
CERT000402,False,
CERT000403,False,
CERT000404,True,timestamp_collision
CERT000405,False,
CERT000406,False,
CERT000407,False,
CERT000408,False,
CERT000409,True,timestamp_collision
CERT000410,False,
CERT000411,False,
CERT000412,False,
CERT000413,False,
CERT000414,False,
CERT000415,False,
CERT000416,False,
CERT000417,False,
CERT000418,False,
CERT000419,False,
CERT000420,True,impossible_timing
CERT000421,False,
CERT000422,False,
CERT000423,False,
CERT000424,False,
CERT000425,False,
CERT000426,False,
CERT000427,False,
CERT000428,False,
CERT000429,False,
CERT000430,False,
CERT000431,False,
CERT000432,False,
CERT000433,False,
CERT000434,False,
CERT000435,False,
CERT000436,False,
CERT000437,False,
CERT000438,False,
CERT000439,False,
CERT000440,False,
CERT000441,False,
CERT000442,False,
CERT000443,False,
CERT000444,False,
CERT000445,True,timestamp_collision
CERT000446,False,
CERT000447,False,
CERT000448,False,
CERT000449,False,
CERT000450,False,
CERT000451,False,
CERT000452,False,
CERT000453,False,
CERT000454,True,circular_trading
CERT000455,False,
CERT000456,False,
CERT000457,False,
CERT000458,False,
CERT000459,False,
CERT000460,False,
CERT000461,False,
CERT000462,True,timestamp_collision
CERT000463,False,
CERT000464,False,
CERT000465,False,
CERT000466,False,
CERT000467,False,
CERT000468,True,over_capacity
CERT000469,False,
CERT000470,False,
CERT000471,False,
CERT000472,False,
CERT000473,False,
CERT000474,False,
CERT000475,False,
CERT000476,False,
CERT000477,True,circular_trading
CERT000478,False,
CERT000479,False,
CERT000480,False,
CERT000481,False,
CERT000482,False,
CERT000483,False,
CERT000484,False,
CERT000485,False,
CERT000486,False,
CERT000487,False,
CERT000488,False,
CERT000489,False,
CERT000490,False,
CERT000491,False,
CERT000492,False,
CERT000493,False,
CERT000494,False,
CERT000495,False,
CERT000496,False,
CERT000497,False,
CERT000498,False,
CERT000499,True,timestamp_collision
CERT000500,False,
CERT000501,False,
CERT000502,False,
CERT000503,True,over_capacity
CERT000504,False,
CERT000505,False,
CERT000506,False,
CERT000507,False,
CERT000508,False,
CERT000509,False,
CERT000510,False,
CERT000511,False,
CERT000512,False,
CERT000513,False,
CERT000514,False,
CERT000515,False,
CERT000516,False,
CERT000517,False,
CERT000518,False,
CERT000519,True,circular_trading
CERT000520,False,
CERT000521,False,
CERT000522,True,timestamp_collision
CERT000523,False,
CERT000524,False,
CERT000525,False,
CERT000526,False,
CERT000527,False,
CERT000528,False,
CERT000529,False,
CERT000530,False,
CERT000531,False,
CERT000532,False,
CERT000533,False,
CERT000534,False,
CERT000535,False,
CERT000536,False,
CERT000537,True,over_capacity
CERT000538,False,
CERT000539,False,
CERT000540,False,
CERT000541,True,timestamp_collision
CERT000542,False,
CERT000543,False,
CERT000544,False,
CERT000545,False,
CERT000546,False,
CERT000547,False,
CERT000548,False,
CERT000549,True,impossible_timing
CERT000550,False,
CERT000551,False,
CERT000552,False,
CERT000553,False,
CERT000554,False,
CERT000555,False,
CERT000556,False,
CERT000557,False,
CERT000558,True,timestamp_collision
CERT000559,False,
CERT000560,True,impossible_timing
CERT000561,False,
CERT000562,False,
CERT000563,False,
CERT000564,False,
CERT000565,False,
CERT000566,False,
CERT000567,False,
CERT000568,False,
CERT000569,False,
CERT000570,False,
CERT000571,False,
CERT000572,False,
CERT000573,False,
CERT000574,False,
CERT000575,False,
CERT000576,False,
CERT000577,False,
CERT000578,False,
CERT000579,False,
CERT000580,False,
CERT000581,False,
CERT000582,False,
CERT000583,True,impossible_timing
CERT000584,False,
CERT000585,False,
CERT000586,False,
CERT000587,False,
CERT000588,False,
CERT000589,True,impossible_timing
CERT000590,False,
CERT000591,False,
CERT000592,False,
CERT000593,False,
CERT000594,False,
CERT000595,False,
CERT000596,True,circular_trading
CERT000597,False,
CERT000598,False,
CERT000599,False,
CERT000600,False,
CERT000601,False,
CERT000602,False,
CERT000603,False,
CERT000604,False,
CERT000605,False,
CERT000606,False,
CERT000607,False,
CERT000608,False,
CERT000609,False,
CERT000610,False,
CERT000611,False,
CERT000612,False,
CERT000613,False,
CERT000614,False,
CERT000615,True,impossible_timing
CERT000616,False,
CERT000617,False,
CERT000618,False,
CERT000619,True,over_capacity
CERT000620,False,
CERT000621,False,
CERT000622,False,
CERT000623,False,
CERT000624,True,timestamp_collision
CERT000625,False,
CERT000626,False,
CERT000627,True,over_capacity
CERT000628,False,
CERT000629,False,
CERT000630,False,
CERT000631,False,
CERT000632,True,over_capacity
CERT000633,True,circular_trading
CERT000634,False,
CERT000635,True,circular_trading
CERT000636,False,
CERT000637,False,
CERT000638,False,
CERT000639,False,
CERT000640,False,
CERT000641,False,
CERT000642,False,
CERT000643,False,
CERT000644,False,
CERT000645,False,
CERT000646,False,
CERT000647,True,circular_trading
CERT000648,False,
CERT000649,False,
CERT000650,False,
CERT000651,False,
CERT000652,True,impossible_timing
CERT000653,False,
CERT000654,False,
CERT000655,False,
CERT000656,False,
CERT000657,False,
CERT000658,True,timestamp_collision
CERT000659,False,
CERT000660,False,
CERT000661,False,
CERT000662,False,
CERT000663,False,
CERT000664,False,
CERT000665,False,
CERT000666,False,
CERT000667,True,over_capacity
CERT000668,False,
CERT000669,True,impossible_timing
CERT000670,False,
CERT000671,False,
CERT000672,False,
CERT000673,False,
CERT000674,False,
CERT000675,False,
CERT000676,False,
CERT000677,False,
CERT000678,True,over_capacity
CERT000679,False,
CERT000680,False,
CERT000681,True,over_capacity
CERT000682,False,
CERT000683,False,
CERT000684,False,
CERT000685,False,
CERT000686,False,
CERT000687,False,
CERT000688,False,
CERT000689,False,
CERT000690,False,
CERT000691,False,
CERT000692,False,
CERT000693,False,
CERT000694,False,
CERT000695,True,over_capacity
CERT000696,False,
CERT000697,True,impossible_timing
CERT000698,False,
CERT000699,False,
CERT000700,False,
CERT000701,False,
CERT000702,False,
CERT000703,False,
CERT000704,False,
CERT000705,False,
CERT000706,False,
CERT000707,False,
CERT000708,True,impossible_timing
CERT000709,False,
CERT000710,False,
CERT000711,False,
CERT000712,False,
CERT000713,False,
CERT000714,False,
CERT000715,False,
CERT000716,False,
CERT000717,False,
CERT000718,False,
CERT000719,False,
CERT000720,True,circular_trading
CERT000721,False,
CERT000722,False,
CERT000723,False,
CERT000724,False,
CERT000725,False,
CERT000726,False,
CERT000727,False,
CERT000728,False,
CERT000729,True,impossible_timing
CERT000730,False,
CERT000731,False,
CERT000732,False,
CERT000733,False,
CERT000734,False,
CERT000735,True,circular_trading
CERT000736,False,
CERT000737,False,
CERT000738,True,circular_trading
CERT000739,False,
CERT000740,False,
CERT000741,False,
CERT000742,False,
CERT000743,False,
CERT000744,False,
CERT000745,True,impossible_timing
CERT000746,False,
CERT000747,False,
CERT000748,False,
CERT000749,False,
CERT000750,False,
CERT000751,False,
CERT000752,False,
CERT000753,False,
CERT000754,False,
CERT000755,False,
CERT000756,False,
CERT000757,False,
CERT000758,True,timestamp_collision
CERT000759,False,
CERT000760,True,circular_trading
CERT000761,False,
CERT000762,False,
CERT000763,False,
CERT000764,False,
CERT000765,True,timestamp_collision
CERT000766,False,
CERT000767,False,
CERT000768,False,
CERT000769,False,
CERT000770,False,
CERT000771,False,
CERT000772,False,
CERT000773,False,
CERT000774,False,
CERT000775,True,circular_trading
CERT000776,False,
CERT000777,False,
CERT000778,False,
CERT000779,False,
CERT000780,False,
CERT000781,True,impossible_timing
CERT000782,False,
CERT000783,False,
CERT000784,False,
CERT000785,False,
CERT000786,False,
CERT000787,False,
CERT000788,False,
CERT000789,False,
CERT000790,False,
CERT000791,False,
CERT000792,False,
CERT000793,False,
CERT000794,False,
CERT000795,False,
CERT000796,False,
CERT000797,True,impossible_timing
CERT000798,False,
