certificate_id,statistical_risk
CERT000001,0.1994
CERT000002,0.1821
CERT000003,0.2481
CERT000004,0.0068
CERT000005,0.1559
CERT000006,0.0831
CERT000007,0.0715
CERT000008,0.1009
CERT000009,0.1388
CERT000010,0.1926
CERT000011,0.0485
CERT000012,0.0424
CERT000013,0.1164
CERT000014,0.0757
CERT000015,0.0172
CERT000016,0.0628
CERT000017,0.1762
CERT000018,0.0629
CERT000019,0.1176
CERT000020,0.0514
CERT000021,0.341
CERT000022,0.0407
CERT000023,0.052
CERT000024,0.3804
CERT000025,0.6245
CERT000026,0.0737
CERT000027,0.0207
CERT000028,0.6537
CERT000029,0.0377
CERT000030,0.1718
CERT000031,0.4289
CERT000032,0.0276
CERT000033,0.2695
CERT000034,0.2388
CERT000035,0.0739
CERT000036,0.0144
CERT000037,0.6971
CERT000038,0.0386
CERT000039,0.0594
CERT000040,0.0408
CERT000041,0.1211
CERT000042,0.1254
CERT000043,0.0132
CERT000044,0.0114
CERT000045,0.0855
CERT000046,0.1933
CERT000047,0.2128
CERT000048,0.4084
CERT000049,0.1442
CERT000050,0.1048
CERT000051,0.2014
CERT000052,0.2596
CERT000053,0.0585
CERT000054,0.2358
CERT000055,0.2609
CERT000056,0.0349
CERT000057,0.0767
CERT000058,0.1506
CERT000059,0.1761
CERT000060,0.1786
CERT000061,0.4762
CERT000062,0.2045
CERT000063,0.1117
CERT000064,0.0164
CERT000065,0.0753
CERT000066,0.1377
CERT000067,0.0629
CERT000068,0.0358
CERT000069,0.0104
CERT000070,0.5885
CERT000071,0.0299
CERT000072,0.0577
CERT000073,0.1749
CERT000074,0.052
CERT000075,0.1208
CERT000076,0.0432
CERT000077,0.1737
CERT000078,0.6067
CERT000079,0.0571
CERT000080,0.0773
CERT000081,0.4376
CERT000082,0.3498
CERT000083,0.2429
CERT000084,0.671
CERT000085,0.0236
CERT000086,0.1778
CERT000087,0.2737
CERT000088,0.4504
CERT000089,0.1756
CERT000090,0.3018
CERT000091,0.0762
CERT000092,0.1571
CERT000093,0.2113
CERT000094,0.2121
CERT000095,0.0361
CERT000096,0.1087
CERT000097,0.1996
CERT000098,0.0207
CERT000099,0.0351
CERT000100,0.1205
CERT000101,0.5859
CERT000102,0.1803
CERT000103,0.0032
CERT000104,0.1567
CERT000105,0.0522
CERT000106,0.2628
CERT000107,0.0556
CERT000108,0.0522
CERT000109,0.2377
CERT000110,0.0416
CERT000111,0.1111
CERT000112,0.6171
CERT000113,0.3357
CERT000114,0.7137
CERT000115,0.1041
CERT000116,0.1206
CERT000117,0.6413
CERT000118,0.0305
CERT000119,0.3505
CERT000120,0.1488
CERT000121,0.1044
CERT000122,0.1417
CERT000123,0.5219
CERT000124,0.0346
CERT000125,0.0657
CERT000126,0.4807
CERT000127,0.0779
CERT000128,0.3161
CERT000129,0.4264
CERT000130,0.9982
CERT000131,0.6566
CERT000132,0.2023
CERT000133,0.1468
CERT000134,0.1142
CERT000135,0.1346
CERT000136,0.5204
CERT000137,0.0307
CERT000138,0.1344
CERT000139,0.2144
CERT000140,0.2192
CERT000141,0.0706
CERT000142,0.5012
CERT000143,0.0618
CERT000144,0.5957
CERT000145,0.0705
CERT000146,0.1927
CERT000147,0.2321
CERT000148,0.2539
CERT000149,0.0782
CERT000150,0.0766
CERT000151,0.6192
CERT000152,0.0422
CERT000153,0.629
CERT000154,0.4727
CERT000155,0.1943
CERT000156,0.0647
CERT000157,0.2871
CERT000158,0.4008
CERT000159,0.6097
CERT000160,0.0877
CERT000161,0.1189
CERT000162,0.0537
CERT000163,0.0271
CERT000164,0.3234
CERT000165,0.1056
CERT000166,0.0713
CERT000167,0.2236
CERT000168,0.0174
CERT000169,0.0484
CERT000170,0.1618
CERT000171,0.2184
CERT000172,0.6697
CERT000173,0.0809
CERT000174,0.3366
CERT000175,0.0135
CERT000176,0.1315
CERT000177,0.7809
CERT000178,0.0774
CERT000179,0.0507
CERT000180,0.3349
CERT000181,0.6543
CERT000182,0.1999
CERT000183,0.0445
CERT000184,0.0084
CERT000185,0.0105
CERT000186,0.6538
CERT000187,0.0211
CERT000188,0.624
CERT000189,0.3049
CERT000190,0.0358
CERT000191,0.0094
CERT000192,0.1602
CERT000193,0.0122
CERT000194,0.2295
CERT000195,0.0009
CERT000196,0.081
CERT000197,0.0405
CERT000198,0.0552
CERT000199,0.5844
CERT000200,0.2484
CERT000201,0.1792
CERT000202,0.0772
CERT000203,0.0826
CERT000204,0.8453
CERT000205,0.1023
CERT000206,0.1917
CERT000207,0.0773
CERT000208,0.0088
CERT000209,0.3234
CERT000210,0.0351
CERT000211,0.0997
CERT000212,0.0064
CERT000213,0.1842
CERT000214,0.1947
CERT000215,0.1095
CERT000216,0.0633
CERT000217,0.2212
CERT000218,0.1883
CERT000219,0.295
CERT000220,0.2242
CERT000221,0.6626
CERT000222,0.3913
CERT000223,0.1396
CERT000224,0.0915
CERT000225,0.1587
CERT000226,0.0076
CERT000227,0.0069
CERT000228,0.1525
CERT000229,0.0591
CERT000230,0.8966
CERT000231,0.0285
CERT000232,0.2329
CERT000233,0.2428
CERT000234,0.0738
CERT000235,0.6119
CERT000236,0.2434
CERT000237,0.2911
CERT000238,0.1034
CERT000239,0.2
CERT000240,0.313
CERT000241,0.0511
CERT000242,0.0507
CERT000243,0.0298
CERT000244,0.0176
CERT000245,0.1938
CERT000246,0.8489
CERT000247,0.1135
CERT000248,0.0179
CERT000249,0.6084
CERT000250,0.06
CERT000251,0.0739
CERT000252,0.0478
CERT000253,0.1669
CERT000254,0.1152
CERT000255,0.3743
CERT000256,0.1214
CERT000257,0.1316
CERT000258,0.018
CERT000259,0.0745
CERT000260,0.1029
CERT000261,0.1437
CERT000262,0.2873
CERT000263,0.0536
CERT000264,0.1317
CERT000265,0.048
CERT000266,0.1019
CERT000267,0.0768
CERT000268,0.1819
CERT000269,0.0099
CERT000270,0.194
CERT000271,0.0445
CERT000272,0.7896
CERT000273,0.0618
CERT000274,0.0571
CERT000275,0.1612
CERT000276,0.1402
CERT000277,0.0609
CERT000278,0.1534
CERT000279,0.0476
CERT000280,0.0484
CERT000281,0.1169
CERT000282,0.7964
CERT000283,0.3024
CERT000284,0.0151
CERT000285,0.2969
CERT000286,0.0319
CERT000287,0.0231
CERT000288,0.0339
CERT000289,0.076
CERT000290,0.8258
CERT000291,0.1023
CERT000292,0.0908
CERT000293,0.1921
CERT000294,0.1853
CERT000295,0.049
CERT000296,0.068
CERT000297,0.1331
CERT000298,0.2533
CERT000299,0.1727
CERT000300,0.2458
CERT000301,0.1975
CERT000302,0.4291
CERT000303,0.0227
CERT000304,0.0913
CERT000305,0.3663
CERT000306,0.0595
CERT000307,0.1427
CERT000308,0.4376
CERT000309,0.3478
CERT000310,0.1738
CERT000311,0.1396
CERT000312,0.0594
CERT000313,0.7419
CERT000314,0.0381
CERT000315,0.1557
CERT000316,0.2572
CERT000317,0.4199
CERT000318,0.0719
CERT000319,0.0974
CERT000320,0.3011
CERT000321,0.0833
CERT000322,0.0675
CERT000323,0.8989
CERT000324,0.2961
CERT000325,0.4219
CERT000326,0.0498
CERT000327,0.35
CERT000328,0.1448
CERT000329,0.067
CERT000330,0.1003
CERT000331,0.1519
CERT000332,0.011
CERT000333,0.8686
CERT000334,0.1285
CERT000335,0.2349
CERT000336,0.0448
CERT000337,0.491
CERT000338,0.4082
CERT000339,0.0777
CERT000340,0.2242
CERT000341,0.138
CERT000342,0.0635
CERT000343,0.0451
CERT000344,0.1096
CERT000345,0.3274
CERT000346,0.7854
CERT000347,0.7859
CERT000348,0.0511
CERT000349,0.1551
CERT000350,0.2368
CERT000351,0.04
CERT000352,0.1927
CERT000353,0.1858
CERT000354,0.262
CERT000355,0.336
CERT000356,0.0211
CERT000357,0.0977
CERT000358,0.0055
CERT000359,0.3438
CERT000360,0.0261
CERT000361,0.0477
CERT000362,0.0958
CERT000363,0.0617
CERT000364,0.1531
CERT000365,0.0111
CERT000366,0.1105
CERT000367,0.0657
CERT000368,0.124
CERT000369,0.5886
CERT000370,0.2374
CERT000371,0.286
CERT000372,0.3122
CERT000373,0.0415
CERT000374,0.2157
CERT000375,0.3741
CERT000376,0.0659
CERT000377,0.0307
CERT000378,0.1168
CERT000379,0.173
CERT000380,0.0497
CERT000381,0.127
CERT000382,0.0201
CERT000383,0.0567
